Circuit,Fault,Std_Conflicts,GNN_Conflicts,Speedup,Status
s298.bench,G64,17,35,0.10,Solved
s386.bench,I25,10,5,0.09,Solved
s386.bench,I39,92,2,0.14,Solved
s386.bench,I62,11,1080,0.07,Fallback
s386.bench,v13_D_3,8,4,0.07,Solved
s386.bench,B24B,11,4,0.08,Solved
s386.bench,I90,13,8,0.08,Solved
s386.bench,B23B,11,1038,0.08,Fallback
s386.bench,I164,30,0,0.09,Solved
s386.bench,I84,52,5,0.13,Solved
s386.bench,v4bar,151,1013,0.20,Fallback
s386.bench,I17,13,7,0.09,Solved
s386.bench,I51,35,1059,0.12,Fallback
s386.bench,I87,49,1098,0.12,Fallback
s386.bench,I57,32,9,0.11,Solved
s386.bench,v13_D_6,8,6,0.09,Solved
s386.bench,v7bar,5,1014,0.09,Fallback
s386.bench,I106,34,8,0.11,Solved
s386.bench,I207,0,0,0.10,Solved
s386.bench,B28B,10,3,0.10,Solved
s386.bench,I87,47,1125,0.12,Fallback
s713.bench,G354,75,31,0.12,Solved
s713.bench,I313,33,6,0.12,Solved
s713.bench,I538,62,42,0.18,Solved
s713.bench,G108,42,54,0.16,Solved
s713.bench,G84,16,8,0.14,Solved
s713.bench,II208,50,4,0.20,Solved
s713.bench,G238,106,57,0.24,Solved
s713.bench,G350,24,21,0.15,Solved
s713.bench,G106,19,21,0.14,Solved
s713.bench,I329,56,81,0.18,Solved
s713.bench,I537,296,1217,0.55,Fallback
s713.bench,I649,8,2,0.14,Solved
s713.bench,I349,16,6,0.15,Solved
s713.bench,G395,27,52,0.16,Solved
s713.bench,G112,17,78,0.11,Solved
s713.bench,G150,99,5,0.38,Solved
s713.bench,G109,81,83,0.37,Solved
s713.bench,I414,69,19,0.24,Solved
s713.bench,G215,10,35,0.15,Solved
s713.bench,G229,16,47,0.15,Solved
